method,seed,sample_index,true_class,original_class,counterfactual_class,time_seconds,num_grad_updates_used,EN,IM1,IM2,is_satisfactory
F,43,2295,0,0,6,0.15907749999314547,29,18.729843521118163,3.145866870880127,0.3553376793861389,1
A,44,2295,0,0,0,2.205343300011009,500,0.033295292413095014,0.9999998807907104,0.06198502704501152,0
B,44,2295,0,0,0,2.8033020999864675,500,44.737098693847656,0.9999998211860657,0.049269773066043854,0
C,44,2295,0,0,6,0.14871950005181134,29,18.61134567260742,2.8463001251220703,0.3415728807449341,1
D,44,2295,0,0,6,0.1840865999693051,29,18.654278182983397,3.1556482315063477,0.3553103506565094,1
E,44,2295,0,0,6,0.11564680002629757,29,18.55782070159912,2.851414442062378,0.3423186242580414,1
F,44,2295,0,0,6,0.14717160002328455,29,18.729843521118163,3.145866870880127,0.3553376793861389,1
A,42,8611,0,0,0,2.189457800006494,500,0.025463922251947227,0.9999998807907104,0.061173100024461746,0
B,42,8611,0,0,0,2.805971399997361,500,49.9375,0.9999998211860657,0.056385546922683716,0
C,42,8611,0,0,0,2.5465358999790624,500,27.55014533996582,0.9999999403953552,0.06178783252835274,0
D,42,8611,0,0,5,0.7293764000060037,116,35.75198211669922,1.0041404962539673,0.06698475033044815,1
E,42,8611,0,0,0,2.0396577999927104,500,27.567337799072266,0.9999999403953552,0.06155064329504967,0
F,42,8611,0,0,5,0.6037389000412077,117,35.755694198608396,1.0065152645111084,0.06682407110929489,1
A,43,8611,0,0,0,2.134218499995768,500,0.025463922251947227,0.9999998807907104,0.061173100024461746,0
B,43,8611,0,0,0,2.7708079000003636,500,49.9375,0.9999998211860657,0.056385546922683716,0
C,43,8611,0,0,0,2.747037899971474,500,27.55014533996582,0.9999999403953552,0.06178783252835274,0
D,43,8611,0,0,5,0.8047034999472089,116,35.75198211669922,1.0041404962539673,0.06698475033044815,1
E,43,8611,0,0,0,2.225293999945279,500,27.567337799072266,0.9999999403953552,0.06155064329504967,0
F,43,8611,0,0,5,1.357705700036604,117,35.755694198608396,1.0065152645111084,0.06682407110929489,1
A,44,8611,0,0,0,2.8517591999843717,500,0.025463922251947227,0.9999998807907104,0.061173100024461746,0
B,44,8611,0,0,0,3.4887487000087276,500,49.9375,0.9999998211860657,0.056385546922683716,0
C,44,8611,0,0,0,2.6630642999662086,500,27.55014533996582,0.9999999403953552,0.06178783252835274,0
D,44,8611,0,0,5,0.739605299953837,116,35.75198211669922,1.0041404962539673,0.06698475033044815,1
E,44,8611,0,0,0,2.0015474000247195,500,27.567337799072266,0.9999999403953552,0.06155064329504967,0
F,44,8611,0,0,5,0.5854434999637306,117,35.755694198608396,1.0065152645111084,0.06682407110929489,1
A,42,7822,1,1,1,2.2286904000211507,500,0.04964091936126352,1.0,0.7000764608383179,0
B,42,7822,1,1,1,2.848155899962876,500,23.64485855102539,1.0,0.651734471321106,0
C,42,7822,1,1,8,0.7557056000223383,147,22.755779266357422,0.16882114112377167,0.024714931845664978,1
D,42,7822,1,1,1,3.565365299989935,500,23.988998794555663,1.0,0.7088689208030701,0
E,42,7822,1,1,8,0.7814944999990985,171,23.417731857299806,0.17330695688724518,0.024331051856279373,1
F,42,7822,1,1,1,3.2800681000226177,500,23.973635482788087,1.0,0.7093324065208435,0
A,43,7822,1,1,1,2.9196962999994867,500,0.04964091936126352,1.0,0.7000764608383179,0
B,43,7822,1,1,1,3.093610699987039,500,23.64485855102539,1.0,0.651734471321106,0
C,43,7822,1,1,8,0.8838774000178091,147,22.755779266357422,0.16882114112377167,0.024714931845664978,1
D,43,7822,1,1,1,3.58873300004052,500,23.988998794555663,1.0,0.7088689208030701,0
E,43,7822,1,1,8,0.7442831000080332,171,23.417731857299806,0.17330695688724518,0.024331051856279373,1
F,43,7822,1,1,1,2.8773588000331074,500,23.973635482788087,1.0,0.7093324065208435,0
A,44,7822,1,1,1,2.306164500012528,500,0.04964091936126352,1.0,0.7000764608383179,0
B,44,7822,1,1,1,2.8007625000318512,500,23.64485855102539,1.0,0.651734471321106,0
C,44,7822,1,1,8,0.743472500005737,147,22.755779266357422,0.16882114112377167,0.024714931845664978,1
